agencia,hora,λ,s_actual,s_óptimo,ρ,Wq_MMs(min),Wq_MGs(min),CT_actual,CT_óptimo,cumplimiento,decisión,ahorro_hora
AG.PARQUE DE LAS FLORES LOS GUINDALES,09:00:00 - 09:59:59,50.5000,5,6,0.7149,1.1974,1.0509,193.2492,186.1477,✅ OK,🔴 CONTRATAR,7.1000
AG.PARQUE DE LAS FLORES LOS GUINDALES,10:00:00 - 10:59:59,60.1200,5,7,0.8849,5.5974,5.0765,342.0081,224.8762,❌ NO OK,🔴 CONTRATAR,117.1300
AG.PARQUE DE LAS FLORES LOS GUINDALES,11:00:00 - 11:59:59,58.9000,5,7,0.8770,5.1712,4.7612,326.4038,223.4145,❌ NO OK,🔴 CONTRATAR,102.9900
AG.PARQUE DE LAS FLORES LOS GUINDALES,12:00:00 - 12:59:59,43.4800,5,5,0.6730,0.9543,0.8977,178.8996,177.7812,✅ OK,🟡 MANTENER,1.1200
AG.PARQUE DE LAS FLORES LOS GUINDALES,13:00:00 - 13:59:59,35.0000,5,5,0.5343,0.3197,0.2961,146.1877,145.8130,✅ OK,🟡 MANTENER,0.3700
AG.PARQUE DE LAS FLORES LOS GUINDALES,14:00:00 - 14:59:59,31.6400,5,4,0.4735,0.1847,0.1717,135.4617,129.3450,✅ OK,🟢 REDUCIR,6.1200
AG.PARQUE DE LAS FLORES LOS GUINDALES,15:00:00 - 15:59:59,44.2300,5,5,0.6436,0.7189,0.6394,170.4788,168.8789,✅ OK,🟡 MANTENER,1.6000
AG.PARQUE DE LAS FLORES LOS GUINDALES,16:00:00 - 16:59:59,59.1100,5,7,0.8702,4.7457,4.3921,314.5305,222.1133,❌ NO OK,🔴 CONTRATAR,92.4200
AG.PARQUE DE LAS FLORES LOS GUINDALES,17:00:00 - 17:59:59,65.2800,5,8,1.0580,,,,264.9030,❓ SIN DATOS,🔴 CONTRATAR,
AG.PARQUE DE LAS FLORES LOS GUINDALES,18:00:00 - 18:59:59,23.4500,5,4,0.4742,0.2511,0.2548,135.5763,130.4514,✅ OK,🟢 REDUCIR,5.1200
AG. CIUDAD UNIVERSITARIA,09:00:00 - 09:59:59,55.2000,6,6,0.6559,0.5577,0.4904,189.4853,187.9104,✅ OK,🟡 MANTENER,1.5700
AG. CIUDAD UNIVERSITARIA,10:00:00 - 10:59:59,65.6200,6,7,0.8028,1.9494,1.7631,253.1039,225.9097,✅ OK,🔴 CONTRATAR,27.1900
AG. CIUDAD UNIVERSITARIA,11:00:00 - 11:59:59,63.1500,6,7,0.7898,1.7750,1.6198,244.3966,222.4884,✅ OK,🔴 CONTRATAR,21.9100
AG. CIUDAD UNIVERSITARIA,12:00:00 - 12:59:59,45.1600,6,6,0.5763,0.3066,0.2845,170.1511,169.7281,✅ OK,🟡 MANTENER,0.4200
AG. CIUDAD UNIVERSITARIA,13:00:00 - 13:59:59,36.7000,6,5,0.4706,0.1134,0.1066,149.9185,141.4712,✅ OK,🟢 REDUCIR,8.4500
AG. CIUDAD UNIVERSITARIA,14:00:00 - 14:59:59,34.9200,6,4,0.4385,0.0787,0.0719,144.4235,134.1431,✅ OK,🟢 REDUCIR,10.2800
AG. CIUDAD UNIVERSITARIA,15:00:00 - 15:59:59,46.4400,6,5,0.5640,0.2621,0.2363,167.5745,166.1138,✅ OK,🟢 REDUCIR,1.4600
AG. CIUDAD UNIVERSITARIA,16:00:00 - 16:59:59,60.7400,6,7,0.7649,1.4443,1.3593,230.2768,216.4937,✅ OK,🔴 CONTRATAR,13.7800
AG. CIUDAD UNIVERSITARIA,17:00:00 - 17:59:59,67.8300,6,8,0.9507,14.7896,15.0671,646.7793,265.6555,❌ NO OK,🔴 CONTRATAR,381.1200
AG. CIUDAD UNIVERSITARIA,18:00:00 - 18:59:59,24.0000,6,4,0.4143,0.0820,0.0821,140.3993,127.3194,✅ OK,🟢 REDUCIR,13.0800
