agencia,tipo_ope,t_p,t_n,t_s
AG.PARQUE DE LAS FLORES LOS GUINDALES,DEPOSITO,2.8,2.9,2.98
AG.PARQUE DE LAS FLORES LOS GUINDALES,COBRANZA LOCALES OTRAS AGENCIAS,2.61,2.74,2.8
AG.PARQUE DE LAS FLORES LOS GUINDALES,COBRANZAS,2.61,2.8,2.98
AG.PARQUE DE LAS FLORES LOS GUINDALES,RETIRO,2.55,2.66,2.84
AG.PARQUE DE LAS FLORES LOS GUINDALES,DESEMBOLSO,17.22,18,20.03
AG.PARQUE DE LAS FLORES LOS GUINDALES,APERTURA,4,4.3,4.89
AG. CIUDAD UNIVERSITARIA,DEPOSITO,2.5,2.6,2.8
AG. CIUDAD UNIVERSITARIA,COBRANZA LOCALES OTRAS AGENCIAS,2.6,2.7,2.99
AG. CIUDAD UNIVERSITARIA,COBRANZAS,2.58,2.62,2.89
AG. CIUDAD UNIVERSITARIA,RETIRO,2.59,2.62,2.88
AG. CIUDAD UNIVERSITARIA,DESEMBOLSO,18,18.5,20.3
AG. CIUDAD UNIVERSITARIA,APERTURA,4.1,4.3,4.89
